koda,ime,priimek,skupna_uvrstitev,skupno_st_tock,poleti_uvrstitev,poleti_st_tock,drzava,leto,spol
104161,Roman,Koudelka,11,650,19,62,CZE,2016,M
112295,Andreas,Stjernen,12,607,10,177,NOR,2016,M
32297,Robert,Kranjec,13,603,2,400,SLO,2016,M
186516,Domen,Prevc,14,486,,0,SLO,2016,M
973,Simon,Ammann,15,480,15,101,SUI,2016,M
73166,Daiki,Ito,16,476,13,107,JPN,2016,M
174244,Andreas,Wellinger,17,408,,0,GER,2016,M
73277,Taku,Takeuchi,18,398,16,82,JPN,2016,M
72592,Andreas,Wank,19,369,28,25,GER,2016,M
140331,Joachim,Hauer,20,356,17,74,NOR,2016,M
75837,Jurij,Tepes,21,307,12,130,SLO,2016,M
73228,Kamil,Stoch,22,295,19,62,POL,2016,M
117450,Stephan,Leyhe,23,257,29,23,GER,2016,M
17013,Manuel,Fettner,24,238,21,37,AUT,2016,M
162711,Anze,Lanisek,25,232,37,12,SLO,2016,M
73229,Stefan,Hula,26,227,36,16,POL,2016,M
106377,Manuel,Poppinger,27,208,18,67,AUT,2016,M
13322,SEVOIE Vincent,Descombes,28,204,24,33,FRA,2016,M
111251,Dawid,Kubacki,29,182,25,32,POL,2016,M
128621,Karl,Geiger,30,174,29,23,GER,2016,M
118113,Maciej,Kot,31,165,25,32,POL,2016,M
27594,Jakub,Janda,32,164,,0,CZE,2016,M
38651,Jan,Matura,33,118,42,4,CZE,2016,M
174246,Andrzej,Stekala,34,105,31,19,POL,2016,M
25074,Lukas,Hlava,35,89,39,7,CZE,2016,M
73232,Piotr,Zyla,35,89,23,35,POL,2016,M
108891,Tom,Hilde,37,74,,0,NOR,2016,M
68743,Andreas,Kofler,38,62,,0,AUT,2016,M
124118,Gregor,Deschwanden,39,61,,0,SUI,2016,M
117441,Markus,Eisenbichler,39,61,25,32,GER,2016,M
157213,Marinus,Kraus,41,57,,0,GER,2016,M
155620,Ryoyu,Kobayashi,42,55,38,8,JPN,2016,M
